,clean_text,clean_tokens,reviews.doRecommend,reviews.rating,sentiment
0,thought would big small paper turn like palm think small read ... comfortable regular would definitely recommend paperwhite instead,"['thought', 'would', 'big', 'small', 'paper', 'turn', 'like', 'palm', 'think', 'small', 'read', '...', 'comfortable', 'regular', 'would', 'definitely', 'recommend', 'paperwhite', 'instead']",False,3,0
1,light easy use especially beach,"['light', 'easy', 'use', 'especially', 'beach']",True,5,1
2,didnt know much 'd use went lower end im happy even little dark,"['didnt', 'know', 'much', ""'d"", 'use', 'went', 'lower', 'end', 'im', 'happy', 'even', 'little', 'dark']",True,4,1
3,100 happy purchase caught sale really good price normally real book person 1 year old loves ripping pages prevents extremely portable fits better purse giant book loaded lots books finish one start another without go store serves needs picked one paperwhite price unbeatable difference could see one n't backlit simple book light dollar tree solves issue second first old keyboard model put fell love keyboard lol likely wo n't last,"['100', 'happy', 'purchase', 'caught', 'sale', 'really', 'good', 'price', 'normally', 'real', 'book', 'person', '1', 'year', 'old', 'loves', 'ripping', 'pages', 'prevents', 'extremely', 'portable', 'fits', 'better', 'purse', 'giant', 'book', 'loaded', 'lots', 'books', 'finish', 'one', 'start', 'another', 'without', 'go', 'store', 'serves', 'needs', 'picked', 'one', 'paperwhite', 'price', 'unbeatable', 'difference', 'could', 'see', 'one', ""n't"", 'backlit', 'simple', 'book', 'light', 'dollar', 'tree', 'solves', 'issue', 'second', 'first', 'old', 'keyboard', 'model', 'put', 'fell', 'love', 'keyboard', 'lol', 'likely', 'wo', ""n't"", 'last']",True,5,1
4,solid entry level great gifted kid friend love use read ipads battery good higher model bit better,"['solid', 'entry', 'level', 'great', 'gifted', 'kid', 'friend', 'love', 'use', 'read', 'ipads', 'battery', 'good', 'higher', 'model', 'bit', 'better']",True,5,1
5,make excellent ebook reader n't expect much device except read basic ebooks good thing cheap good read sun,"['make', 'excellent', 'ebook', 'reader', ""n't"", 'expect', 'much', 'device', 'except', 'read', 'basic', 'ebooks', 'good', 'thing', 'cheap', 'good', 'read', 'sun']",False,5,1
6,ordered daughter black paperwhite love read quite bit larger books driving crazy hold laying wanting take book vacation lugging around thick paperback throw bag read anywhere light weight easy use battery life lasts weeks makes around awesome device daughter public school offer online library e-readers download books free school also download public library app county offers read free well shop e-books straight device amazon.com,"['ordered', 'daughter', 'black', 'paperwhite', 'love', 'read', 'quite', 'bit', 'larger', 'books', 'driving', 'crazy', 'hold', 'laying', 'wanting', 'take', 'book', 'vacation', 'lugging', 'around', 'thick', 'paperback', 'throw', 'bag', 'read', 'anywhere', 'light', 'weight', 'easy', 'use', 'battery', 'life', 'lasts', 'weeks', 'makes', 'around', 'awesome', 'device', 'daughter', 'public', 'school', 'offer', 'online', 'library', 'e-readers', 'download', 'books', 'free', 'school', 'also', 'download', 'public', 'library', 'app', 'county', 'offers', 'read', 'free', 'well', 'shop', 'e-books', 'straight', 'device', 'amazon.com']",True,5,1
7,bought 2 months ago battery already dead charge,"['bought', '2', 'months', 'ago', 'battery', 'already', 'dead', 'charge']",False,4,1
8,always best ebook upgrade every new model,"['always', 'best', 'ebook', 'upgrade', 'every', 'new', 'model']",True,5,1
9,beyond expectation even show music score fast turning though,"['beyond', 'expectation', 'even', 'show', 'music', 'score', 'fast', 'turning', 'though']",True,5,1
10,really want good read something digital item 're looking really lightweight highly functional battery lasts long time screen easy eyes difficulty sometimes reading extremely bright environments overall excellent buy,"['really', 'want', 'good', 'read', 'something', 'digital', 'item', ""'re"", 'looking', 'really', 'lightweight', 'highly', 'functional', 'battery', 'lasts', 'long', 'time', 'screen', 'easy', 'eyes', 'difficulty', 'sometimes', 'reading', 'extremely', 'bright', 'environments', 'overall', 'excellent', 'buy']",True,5,1
11,love makes reading night easy feels like reading real book,"['love', 'makes', 'reading', 'night', 'easy', 'feels', 'like', 'reading', 'real', 'book']",True,5,1
12,good product child need read books,"['good', 'product', 'child', 'need', 'read', 'books']",True,5,1
13,convenient size yet lettering easy read,"['convenient', 'size', 'yet', 'lettering', 'easy', 'read']",True,5,1
14,use every day commute great battery life backlight readable normal lighting like built dictionary email pdf mobi files easy transfers,"['use', 'every', 'day', 'commute', 'great', 'battery', 'life', 'backlight', 'readable', 'normal', 'lighting', 'like', 'built', 'dictionary', 'email', 'pdf', 'mobi', 'files', 'easy', 'transfers']",True,5,1
15,job would buy one screen brighter times difficult read screen bright,"['job', 'would', 'buy', 'one', 'screen', 'brighter', 'times', 'difficult', 'read', 'screen', 'bright']",True,3,0
16,great product bought great deal,"['great', 'product', 'bought', 'great', 'deal']",True,5,1
17,item work well easy read day light,"['item', 'work', 'well', 'easy', 'read', 'day', 'light']",True,4,1
18,great product service refer friend sales man r good,"['great', 'product', 'service', 'refer', 'friend', 'sales', 'man', 'r', 'good']",True,5,1
19,everything great except ca n't read external pdfs properly either zooms much little books provides great experience battery life awesome,"['everything', 'great', 'except', 'ca', ""n't"", 'read', 'external', 'pdfs', 'properly', 'either', 'zooms', 'much', 'little', 'books', 'provides', 'great', 'experience', 'battery', 'life', 'awesome']",True,4,1
20,looking whitepaper saw online 80 deal ordered line picked store got home could n't adjust brightness lengthy time online customer service called customer service 20 minuets speaking female elmer fud n't speak english well figured would return although looks identical 120 model adjust brightness would good information bought,"['looking', 'whitepaper', 'saw', 'online', '80', 'deal', 'ordered', 'line', 'picked', 'store', 'got', 'home', 'could', ""n't"", 'adjust', 'brightness', 'lengthy', 'time', 'online', 'customer', 'service', 'called', 'customer', 'service', '20', 'minuets', 'speaking', 'female', 'elmer', 'fud', ""n't"", 'speak', 'english', 'well', 'figured', 'would', 'return', 'although', 'looks', 'identical', '120', 'model', 'adjust', 'brightness', 'would', 'good', 'information', 'bought']",False,1,0
21,nice bare-bones reading device easy set use greatest issue n't back lit ca n't used w/o light room returning purchasing paperwhite instead,"['nice', 'bare-bones', 'reading', 'device', 'easy', 'set', 'use', 'greatest', 'issue', ""n't"", 'back', 'lit', 'ca', ""n't"", 'used', 'w/o', 'light', 'room', 'returning', 'purchasing', 'paperwhite', 'instead']",True,4,1
22,easy use navigate purchasing books fast simple love fact password protect device,"['easy', 'use', 'navigate', 'purchasing', 'books', 'fast', 'simple', 'love', 'fact', 'password', 'protect', 'device']",True,5,1
23,light weight easy use,"['light', 'weight', 'easy', 'use']",True,4,1
24,love hear readers replace mine destroyed last awesome,"['love', 'hear', 'readers', 'replace', 'mine', 'destroyed', 'last', 'awesome']",True,4,1
25,love simplicity also love use reading ca n't download distracting apps,"['love', 'simplicity', 'also', 'love', 'use', 'reading', 'ca', ""n't"", 'download', 'distracting', 'apps']",True,5,1
26,husband loves muscular disease keeping able handle anything much weight perfect,"['husband', 'loves', 'muscular', 'disease', 'keeping', 'able', 'handle', 'anything', 'much', 'weight', 'perfect']",True,5,1
27,'ve wanted decided get bb put sale disappointed,"[""'ve"", 'wanted', 'decided', 'get', 'bb', 'put', 'sale', 'disappointed']",True,5,1
28,several kindles knew expect great reading device keep several different locations,"['several', 'kindles', 'knew', 'expect', 'great', 'reading', 'device', 'keep', 'several', 'different', 'locations']",True,5,1
29,like e reader wish screen higher resolution requires decent light look good easy eyes screen updates involve flashing whole screen noticed less time advertised month long battery life standby time lasts much less downloading reading books,"['like', 'e', 'reader', 'wish', 'screen', 'higher', 'resolution', 'requires', 'decent', 'light', 'look', 'good', 'easy', 'eyes', 'screen', 'updates', 'involve', 'flashing', 'whole', 'screen', 'noticed', 'less', 'time', 'advertised', 'month', 'long', 'battery', 'life', 'standby', 'time', 'lasts', 'much', 'less', 'downloading', 'reading', 'books']",True,4,1
30,fiancée really enjoyes would definitely recommend,"['fiancée', 'really', 'enjoyes', 'would', 'definitely', 'recommend']",True,4,1
31,simple great buy money avid reader,"['simple', 'great', 'buy', 'money', 'avid', 'reader']",True,4,1
32,like changes made since current 4 year old unit purchased,"['like', 'changes', 'made', 'since', 'current', '4', 'year', 'old', 'unit', 'purchased']",True,4,1
33,fits nicely hand touchable increase size fonts,"['fits', 'nicely', 'hand', 'touchable', 'increase', 'size', 'fonts']",True,5,1
34,great buy lot reading glear screen awesome sun,"['great', 'buy', 'lot', 'reading', 'glear', 'screen', 'awesome', 'sun']",True,4,1
35,lie size weight kindle-makes convenient take large books digital format,"['lie', 'size', 'weight', 'kindle-makes', 'convenient', 'take', 'large', 'books', 'digital', 'format']",True,4,1
36,great price works great book reading would recommend,"['great', 'price', 'works', 'great', 'book', 'reading', 'would', 'recommend']",True,5,1
37,got sale totally fall love bring everywhere,"['got', 'sale', 'totally', 'fall', 'love', 'bring', 'everywhere']",True,5,1
38,never used wife gifted birthday amazing product using daily reading display fantastic strain eyes,"['never', 'used', 'wife', 'gifted', 'birthday', 'amazing', 'product', 'using', 'daily', 'reading', 'display', 'fantastic', 'strain', 'eyes']",True,5,1
39,bought paper white didn⊙t see much difference terms resolution use totally recommend reader it⊙s small powerful,"['bought', 'paper', 'white', 'didn⊙t', 'see', 'much', 'difference', 'terms', 'resolution', 'use', 'totally', 'recommend', 'reader', 'it⊙s', 'small', 'powerful']",True,5,1
40,sales people really nice knowledgeable come back,"['sales', 'people', 'really', 'nice', 'knowledgeable', 'come', 'back']",True,5,1
41,'m longtime user jumped opportunity bring granddaughter fold gift loved,"[""'m"", 'longtime', 'user', 'jumped', 'opportunity', 'bring', 'granddaughter', 'fold', 'gift', 'loved']",True,5,1
42,overall good product advertised comfortable use,"['overall', 'good', 'product', 'advertised', 'comfortable', 'use']",True,5,1
43,come handy lately always book read great grab go battery life great drawback backlight,"['come', 'handy', 'lately', 'always', 'book', 'read', 'great', 'grab', 'go', 'battery', 'life', 'great', 'drawback', 'backlight']",True,5,1
44,loving new wanted one finally bought one even though cheapest one exceeded expectations love glare,"['loving', 'new', 'wanted', 'one', 'finally', 'bought', 'one', 'even', 'though', 'cheapest', 'one', 'exceeded', 'expectations', 'love', 'glare']",True,4,1
45,already older version one even better love touch screen ability scroll without buttons,"['already', 'older', 'version', 'one', 'even', 'better', 'love', 'touch', 'screen', 'ability', 'scroll', 'without', 'buttons']",True,5,1
46,bought 90+ year-old totally no-tech mom first e-book gone wind likes size ease use,"['bought', '90+', 'year-old', 'totally', 'no-tech', 'mom', 'first', 'e-book', 'gone', 'wind', 'likes', 'size', 'ease', 'use']",True,4,1
